Device SN, Patient ID,SensorID,Date Stamp,Time Stamp,DTemp1,DTemp2,DTemp3,ATemp,VNa,VK,VNaK,VpH,EC,Status
100001,NFC-2749675,SN-001,1730158818,8,22.06,22.06,22.06,22.87,2382.26,2631.45,2957.1,2478.39,0,0
100001,NFC-2749675,SN-001,1730158821,2647,22.25,22.25,22.25,23.11,2385.65,2629.68,2940.48,2477.26,0,0
100001,NFC-2749675,SN-001,1730158822,4290,22.25,22.25,22.25,23.11,2413.87,2620.81,2918.71,2480.32,0,0
100001,NFC-2749675,SN-001,1730158824,5910,22.19,22.19,22.19,23.03,2411.94,2617.74,2919.68,2479.68,0,0
100001,NFC-2749675,SN-001,1730158826,7554,22.25,22.25,22.25,23.11,2407.42,2621.13,2934.19,2477.1,0,0
100001,NFC-2749675,SN-001,1730158827,9186,22.25,22.25,22.25,23.11,2399.84,2624.03,2928.23,2479.19,0,0
100001,NFC-2749675,SN-001,1730158829,10818,22.19,22.19,22.19,23.03,2388.55,2628.23,2953.71,2478.23,0,0
100001,NFC-2749675,SN-001,1730158831,12458,22.25,22.25,22.25,23.11,2415,2616.61,2919.84,2479.03,0,0
100001,NFC-2749675,SN-001,1730158832,14082,22.25,22.25,22.25,23.11,2394.19,2627.26,2948.39,2475.81,0,0
100001,NFC-2749675,SN-001,1730158834,15714,22.25,22.25,22.25,23.11,2399.35,2625,2943.55,2478.87,0,0
100001,NFC-2749675,SN-001,1730158836,17354,22.25,22.25,22.25,23.11,2399.03,2623.23,2943.87,2478.23,0,0
100001,NFC-2749675,SN-001,1730158837,18974,22.25,22.25,22.25,23.11,2407.42,2621.94,2920.65,2480.32,0,0
100001,NFC-2749675,SN-001,1730158839,20601,22.25,22.25,22.25,23.11,2408.39,2619.19,2931.94,2479.52,0,0
100001,NFC-2749675,SN-001,1730158840,22243,22.31,22.31,22.31,23.18,2395.32,2626.29,2922.9,2478.87,0,0
100001,NFC-2749675,SN-001,1730158842,23872,22.25,22.25,22.25,23.11,2367.58,2621.45,2890.16,2478.06,0,0
100001,NFC-2749675,SN-001,1730158844,25488,22.25,22.25,22.25,23.11,2335.48,2661.61,3040.32,2477.42,0,0
100001,NFC-2749675,SN-001,1730158845,27120,22.19,22.19,22.19,23.03,2481.61,2563.87,2846.45,2477.42,0,0
100001,NFC-2749675,SN-001,1730158847,28754,22.19,22.19,22.19,23.03,2291.13,2652.26,2943.71,2478.06,0,0
100001,NFC-2749675,SN-001,1730158849,30377,22.19,22.19,22.19,23.03,2343.06,2548.71,2735.65,2480.97,0,0
100001,NFC-2749675,SN-001,1730158850,32018,22.19,22.19,22.19,23.03,2450.32,2563.55,2817.74,2479.84,0,0
100001,NFC-2749675,SN-001,1730158852,33651,22.19,22.19,22.19,23.03,2397.74,2612.26,2974.35,2477.9,0,0
100001,NFC-2749675,SN-001,1730158853,35284,22.19,22.19,22.19,23.03,2331.77,2686.13,3026.77,2477.26,0,0
100001,NFC-2749675,SN-001,1730158855,36894,22.19,22.19,22.19,23.03,2334.52,2663.55,2960.81,2477.42,0,0
100001,NFC-2749675,SN-001,1730158857,38516,22.19,22.19,22.19,23.03,2386.13,2627.26,3002.74,2477.58,0,0
100001,NFC-2749675,SN-001,1730158858,40159,22.19,22.19,22.19,23.03,2313.87,2687.74,3028.23,2477.26,0,0
100001,NFC-2749675,SN-001,1730158860,41780,22.19,22.19,22.19,23.03,2410,2593.87,2934.19,2480.97,0,0
100001,NFC-2749675,SN-001,1730158862,43418,22.56,22.56,22.56,23.49,2517.1,2789.03,3045.16,2795.48,15110,0
100001,NFC-2749675,SN-001,1730158863,45058,24.75,24.75,24.75,26.18,2537.26,2796.94,3051.94,2960.32,17100,0
100001,NFC-2749675,SN-001,1730158865,46687,27,27,27,28.95,2541.13,2789.84,3040.48,2938.71,17290,0
100001,NFC-2749675,SN-001,1730158866,48319,28.69,28.69,28.69,31.03,2540.32,2797.74,3049.19,2919.35,17470,0
100001,NFC-2749675,SN-001,1730158868,49952,29.94,29.94,29.94,32.57,2544.03,2793.06,3038.87,2917.1,17620,0
100001,NFC-2749675,SN-001,1730158870,51590,30.88,30.88,30.88,33.72,2543.06,2795.48,3040.81,2914.52,17720,0
100001,NFC-2749675,SN-001,1730158871,53225,31.62,31.62,31.62,34.63,2535.16,2801.94,3055.32,2902.9,17840,0
100001,NFC-2749675,SN-001,1730158873,54881,32.31,32.31,32.31,35.48,2539.84,2797.1,3042.74,2903.55,17910,0
100001,NFC-2749675,SN-001,1730158875,56497,32.81,32.81,32.81,36.1,2535,2798.55,3046.45,2905.81,17940,0
100001,NFC-2749675,SN-001,1730158876,58128,33.25,33.25,33.25,36.64,2532.74,2798.06,3044.03,2905.32,17960,0
100001,NFC-2749675,SN-001,1730158878,59772,33.62,33.62,33.62,37.09,2535.32,2801.94,3046.45,2903.06,17970,0
100001,NFC-2749675,SN-001,1730158880,61385,33.81,33.81,33.81,37.33,2535.48,2807.58,3058.39,2894.68,17940,0
100001,NFC-2749675,SN-001,1730158881,63019,34.06,34.06,34.06,37.63,2603.23,2770.16,3057.74,2904.03,17940,0
100001,NFC-2749675,SN-001,1730158883,64654,34.25,34.25,34.25,37.87,2591.77,2765.32,3036.13,2900,17880,0
100001,NFC-2749675,SN-001,1730158884,66294,34.31,34.31,34.31,37.94,2473.23,2855.16,3116.94,2898.06,17830,0
100001,NFC-2749675,SN-001,1730158886,67902,34.38,34.38,34.38,38.03,2564.03,2783.06,2996.94,2898.71,17740,0
100001,NFC-2749675,SN-001,1730158888,69538,34.44,34.44,34.44,38.1,2496.29,2883.06,3131.77,2914.03,11820,0
100001,NFC-2749675,SN-001,1730158889,71168,34.38,34.38,34.38,38.03,2631.29,2789.03,3039.52,2918.39,13290,0
100001,NFC-2749675,SN-001,1730158891,72806,34.31,34.31,34.31,37.94,2591.13,2796.61,3019.52,2909.03,3106,0
100001,NFC-2749675,SN-001,1730158893,74437,34.19,34.19,34.19,37.79,2513.39,2877.74,3148.55,2910.48,4454,0
100001,NFC-2749675,SN-001,1730158894,76080,34.06,34.06,34.06,37.63,2555,2830.81,3043.71,2916.94,0,0
100001,NFC-2749675,SN-001,1730158896,77694,34,34,34,37.56,2582.74,2819.52,3078.06,2917.74,0,0
100001,NFC-2749675,SN-001,1730158898,79335,33.81,33.81,33.81,37.33,2543.06,2854.68,3120,2914.52,0,0
100001,NFC-2749675,SN-001,1730158899,80959,33.75,33.75,33.75,37.25,2544.03,2853.55,3095.97,2915,0,0
100001,NFC-2749675,SN-001,1730158901,82590,33.62,33.62,33.62,37.09,2576.94,2827.1,3076.45,2915,0,0
100001,NFC-2749675,SN-001,1730158902,84220,33.62,33.62,33.62,37.09,2577.1,2827.74,3075.65,2915.81,0,0
100001,NFC-2749675,SN-001,1730158904,85854,33.5,33.5,33.5,36.95,2575.97,2832.26,3073.06,2915.97,0,0
100001,NFC-2749675,SN-001,1730158906,87481,33.38,33.38,33.38,36.8,2538.71,2863.71,3115.97,2913.39,0,0
100001,NFC-2749675,SN-001,1730158907,89123,33.31,33.31,33.31,36.71,2541.45,2860.97,3112.9,2915.65,0,0
100001,NFC-2749675,SN-001,1730158909,90751,33.25,33.25,33.25,36.64,2564.68,2843.71,3105.48,2913.71,0,0
100001,NFC-2749675,SN-001,1730158911,92368,33.19,33.19,33.19,36.56,2540.32,2866.13,3114.84,2915,0,0
100001,NFC-2749675,SN-001,1730158912,94004,33.06,33.06,33.06,36.4,2571.29,2834.84,3077.9,2915.65,0,0
100001,NFC-2749675,SN-001,1730158914,95622,33,33,33,36.33,2573.23,2833.87,3076.94,2915.32,0,0
100001,NFC-2749675,SN-001,1730158915,97242,32.88,32.88,32.88,36.18,2542.58,2866.94,3118.71,2915,0,0
100001,NFC-2749675,SN-001,1730158917,98873,32.88,32.88,32.88,36.18,2583.55,2831.45,3089.52,2915.16,0,0
100001,NFC-2749675,SN-001,1730158919,100515,32.75,32.75,32.75,36.02,2543.87,2863.39,3108.06,2913.55,0,0
